IF
WHILE
FOR
DO
BREAK
CONTINUE
RETURN
SWITCH
CASE
DEFAULT
BLOCK
LABEL
GOTO
EMPTY_STMT
FOREACH
FIXED
LOCK
USING
UNSAFE
ASSERT
EXPR_STMT
